Market,Submarket,Tier,Chain Class,Chain Scale,Brand,Company,Property,Rooms,Lat,Lng
"Columbus, OH",Downtown Columbus,Upper Tier,Upscale,Upscale,Hyatt Place,Hyatt Hotels Corporation,Hyatt Place Columbus/OSU,126,39.9754,-83.0262
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites New Philadelphia by IHG,83,40.4918,-81.4719
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Independent,Independent,Independent,Berlin Grande Hotel,78,40.5648,-81.7939
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Washington Ch Jeffersonville S by IHG,75,39.5202,-83.4652
"Columbus, OH",Downtown Columbus,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Columbus OSU-Medical Center by IHG,100,40.0232,-83.0265
"Cleveland, OH",Avon/I90 West,Lower Tier,Economy,Economy,Extended Stay America Select Suites,Extended Stay America,Extended Stay America Select Suites,113,41.4658,-82.0488
"Cincinnati, OH",Cincinnati North,Upper Tier,Upscale,Upscale,Hilton Garden Inn,Hilton Worldwide,Hilton Garden Inn Cincinnati/Mason,110,39.3014,-84.3183
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Richwood - Cincinnati South by IHG,76,38.9202,-84.6312
"Ohio State Area, OH",Ohio North,Mid Tier,Midscale,Midscale,Best Western,Best Western Hotels & Resorts,Best Western Dutch Valley Inn,66,40.4918,-81.4714
"Cincinnati, OH",Cincinnati East,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Wilder,94,39.0256,-84.4798
"Columbus, OH",CMH Airport,Mid Tier,Upper Midscale,Upper Midscale,Comfort Suites,"Choice Hotels International, Inc.",Comfort Suites Columbus East Broad,85,39.9829,-82.8287
"Ohio State Area, OH",I70 Corridor,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,"Holiday Inn Express & Suites Zanesville North, an IHG Hotel",76,39.9472,-81.9971
"Columbus, OH",Worthington/Westerville,Lower Tier,Economy,Economy,HomeTowne Studios by Red Roof,Red Roof Group,HomeTowne Studios Columbus,121,40.0945,-82.9875
"Columbus, OH",Worthington/Westerville,Mid Tier,Upper Midscale,Upper Midscale,Fairfield Inn,Marriott International,Fairfield by Marriott Inn & Suites Columbus Polaris,125,40.1389,-82.9668
"Cincinnati, OH",CVG Airport,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn Florence by IHG,85,38.9865,-84.6383
"Ohio State Area, OH",Lima,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn & Suites Lima by IHG,116,40.7296,-84.0778
"Columbus, OH",CMH Airport,Upper Tier,Upper Upscale,Upper Upscale,Embassy Suites by Hilton,Hilton Worldwide,Embassy Suites by Hilton Columbus Airport,198,39.9999,-82.9343
"Cincinnati, OH",CVG Airport,Mid Tier,Midscale,Midscale,Wingate by Wyndham,Wyndham Hotels & Resorts,Wingate by Wyndham Erlanger / Florence / Cincinnati South,75,39.0289,-84.6123
"Columbus, OH",CMH Airport,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express Columbus Airport – Easton by IHG,110,40.0032,-82.9274
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn,IHG Hotels & Resorts,Holiday Inn Columbus - Hilliard by IHG,106,39.9789,-83.1454
"Ohio State Area, OH",Ohio South,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Gallipolis,68,38.8333,-82.1575
"Dayton, OH",Downtown/DAY Airport,Upper Tier,Upscale,Upscale,Residence Inn,Marriott International,Residence Inn by Marriott Dayton Vandalia,105,39.8494,-84.1955
"Columbus, OH",Columbus West,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,"Holiday Inn Express Columbus - Dublin, an IHG Hotel",117,40.0753,-83.1438
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn Defiance,76,41.3092,-84.3639
"Ohio State Area, OH",Ohio North,Mid Tier,Upper Midscale,Upper Midscale,Holiday Inn Express,IHG Hotels & Resorts,Holiday Inn Express & Suites Van Wert by IHG,65,40.8822,-84.5809
"Akron, OH",Canton,Mid Tier,Upper Midscale,Upper Midscale,Hampton by Hilton,Hilton Worldwide,Hampton Inn & Suites Canton,89,40.856,-81.4157
